UID,generated_keywords
r1etN1rtPB,implementation Matters|PPO|Proximal Policy Optimization|TRPO
rkgbYyHtwB,imitation learning|effective algorithm|RL|atari environment
BJxwPJHFwS,neural network|previous work|important tool|safety guarantee
rkg6sJHYDr,motivated Discovery|Diverse Patterns|organizing Systems|GOL
rJgUfTEYvH,Conditional Flow|Stochastic Video Generation
B1evfa4tPB,Neural Network Branching|Neural Network Verification
B1gZV1HYvS,agent system|correlated policy|art multi|decentralized Adversarial Imitation
HkxYzANYDB,collision event|Video Representation
rkgfdeBYvH,minimum eigenvalue|Activation Functions|Overparametrized Neural Nets
Sye57xStvB,Directed Exploration Strategies
BJeB5hVtvB,DBLE|Confidence Calibration|DNN architecture
SJxhNTNYwB,Transferable model|MNIST|CIFAR10
rkgg6xBYDH,new generalization|generalization performance|generalization bound|Rao norm
r1eIiCNYwS,XH well|extra Hop attention
S1e4jkSKvB,module criticality|module parameter|deep neural network|deep network
HJenn6VFvB,Hamiltonian Generative Networks|hamiltonian formalism|hamiltonian dynamic|HGN
HkxCzeHFDB,functional regularisation|Continual Learning|CL
BkgWahEFvr,random transformation|adversarial image|clean image|Distribution Classifier
SJx1URNKwH,shot video
Hklr204Fvr,Deep Network Architecture|FGL|novel feedforward layer|Grouping Layer
BJlzm64tDH,Language model|Weakly Supervised Knowledge|FIGER
HklkeR4KPB,supervised learning algorithm|Distribution Matching|marginal distribution|new algorithm
BJlQtJSKDB,MCTS|simple approach|WU
SygWvAVFPr,
HkgTTh4FDH,Implicit Bias|Adversarial Training|Separable Data
BJlRs34Fvr,Adversarial example|SGM|excitation Network
B1l2bp4YwS,graph neural network|graph size|seminal result|expressive power
B1eyO1BFPr,large Mini|Use local SGD|\emph{local SGD
BJgd81SYwr,Meta dropout|training example|low error|Perturb Latent Features
BJl6bANtwH,local second|model class|Detecting Extrapolation|test time
rylwJxrYDS,style self|discrete representation|discrete input|dense representation
rkxxA24FDr,program memory|new memory|current memory|Neural Stored
SkeFl1HKwr,Empirical Studies|Linear Regions|DNN|input space
B1gqipNYwH,construct skill|Option Discovery|deep neural network|new algorithm
rkxoh24FPH,Mutual Information Maximization|MI|Representation Learning|mutual information
B1lj20NFDS,heterotopic datum|VAE|multivariate intensity|collaborative filtering
SJlVY04FwH,convergence rate|Gradient Methods|max formulation|gradient algorithm
BJgza6VtPB,NLG
S1erpeBFPB,NAS|Spare Time|Machine Learning
BJe1334YDH,CVRP|Iterative Method|Classical Operations Research|LKH3
rJxX8T4Kvr,distributed SGD|Stochastic Gradient Descent|PS|RL
B1lJzyStvS,energy consumption|Appliance Usage
Hye1RJHKwB,Factorised Discriminators
HkxjqxBYDB,Episodic Reinforcement|Associative Memory|Sample efficiency|successful policy
Bkxe2AVtPS,point format|Deep Neural Networks|Precision Training|FP8
HJgEMpVFwB,adversarial policy|RL agent|dimensional environment|Deep Reinforcement
HJem3yHKwH,precision model|deep Neural network|Adversarial attack|MNIST
HkxARkrFwB,Quantum Entanglement
BJgy96EYvr,Agent Exploration|EITI
Byl5NREFDr,BERT|Sesame Street
SkxpxJBKwS,Emergent Tool Use|agent competition|Agent Autocurricula
ryeHuJBtPH,SAGNN applicable
Bke_DertPB,Adversarial Lipschitz Regularization|Wasserstein gan|sample quality|virtual Adversarial Training
rylHspEKPr,simple property|input type τ_in|output type|output list
rJgzzJHtDB,adaptive Inference|RDI
H1lNPxHKDH,layer relu network|Function Space View|tight characterization|univariate characterization
rkgOlCVYvB,functional space|linear map|determinantal variety|Geometric Study
SkeIyaVtwB,online method|continuous state|reinforcement learning|cover time
H1ldzA4tPr,
rklk_ySYPB,provable robustness guarantee|robust model|l_p$-perturbation model|adversarial attack
SklGryBtwr,environmental driver|3d Unity|AI
HkgH0TEYwH,Anomaly detection|Deep Semi|Deep SAD|MNIST
BkgnhTEtDS,Feature Interaction Interpretability|Neural Interaction Detection|Recommendation Systems|click prediction
B1gF56VYPH,deep 3d Pan|SOTA|KITTI|RMSE
SJeqs6EFvB,learning graph transformation|graph structure|Javascript program|DETECT
BklEFpEYwS,
r1lOgyrKDS,Monte Carlo|MC rollout
S1gFvANKDS,wide Networks|asymptotic behavior|Feynman Diagrams|training dynamic
SJxWS64FwH,Homotopy Dictionary Learning|ALISTA
rJgqMRVYvr,federated learning|private Meta|parameter transfer|private algorithm
H1e0Wp4KvH,
B1g8VkHFPH,
rJxycxHKDS,different domain|different sequence|great flexibility|high accuracy
ryxdEkHtPS,empirical behavior|conceptual framework|value prediction|close look
rkeNfp4tPr,Stochastic Momentum|ADAM
rJeqeCEtvH,supervised Generative modeling|partial supervision|Controllable Speech Synthesis|art baseline
rke3TJrtPS,constraint violation|constraint set|step process|iterative method
HJeqhA4YDS,Convolutional Neural Networks|Convolutional Generators|Structural Bias
S1evHerYPr,algorithm MetaGenRL|rl algorithm|recent meta|Meta Reinforcement Learning
HJe6uANtwH,capsule network|product attention routing|Layer normalization|powerful CNN
HJeOekHKwr,GAN variant|generative adversarial network|gradient descent|gradient penalty
HyebplHYwB,Intrinsic Distance|Wasserstein inter
Syx4wnEtvH,LARS|LAMB
S1ltg1rFDS,Horizon Reinforcement Learning
SJlh8CEYDB,neural Logic inductive|NLIL|Visual Genome|M entity
rkl8sJBYvH,data task|Wide Deep Nets|Random Forests|RF
r1gixp4FPH,Nesterov SGD|ordinary SGD
BJxH22EKPS,NAS algorithm|Understanding Architectures Learnt|fast convergence|image classification
SJeQEp4YDH,
rkl03ySYDH,Scene Representation|SPACE|Spatial Attention|SPAIR
HkldyTNYwH,OT map|OT model|AE|DISCRETE OPTIMAL transport
B1xm3RVtwB,Agent Reinforcement Learning|reinforcement Learning|Deep Multi|AI
r1xCMyBtPS,multilingual BERT|multilingual Alignment|alignment procedure|BERT exhibit
Skey4eBYPS,Neural Process family|translation equivariance|spatial datum|new member
SJgVHkrYDH,Reasoning Paths|Question Answering
rke-f6NKvS,Value Functions|correctable Policies|algorithm Value Iteration|Negative Sampling
ByxRM0Ntvr,sequence function|Transformer model|attention layer|NLP task
H1guaREYPr,generation network|end Fully Self|inference network|Human Face
Byg1v1HKDB,Abductive Commonsense Reasoning|ART
SygKyeHKDH,efficient use|R2D3|variable initial condition|observable environment
ByxY8CNtvr,Recent Transformer|Neural Language Generation|Spectrum Control|BERT
Hkx7_1rKwS,local minimax|Solving Minimax Optimization|gradient descent|Ridge Approach
Bke8UR4FPB,constant network|relu network|deep network|wise linear
Bylx-TNKvH,relu network|network intact|neural network|parametric equivalence
rylb3eBtwr,RSR layer|underlying subspace|Unsupervised Anomaly Detection|neural network
Hklz71rYvS,Wasserstein metric|probability distribution|Kernel Hilbert Space
rJeQoCNYDS,RL
rkxDoJBYPB,Genetic Algorithm|early learning|execution cost|optimizer offline
HklSeREtPB,
SkxJ8REYPH,
HJepXaVYDr,stochastic AUC Maximization|Polyak-\L{}ojasiewicz
HJgBA2VYwH,set encoder|Set representation|simple dataset|toy dataset
rkxs0yHFPH,equivalent Computation Model|ANN|Implementing Backpropagation|MNIST
HkePNpVKPB,compositional language|simple one|ended set|limited vocabulary
H1gmHaEKwB,Independent Neural Pruning|approximation error|MNIST
BJxSI1SKDH,Latent Morphology Model
rJgQkT4twH,Video Feature|SVM|Stream cnn|support vector machine
SylO2yStDr,structured dropout|question answering
ByxdUySKvS,datum augmentation|DA
HkeryxBtPB,Margin Adversarial|decision boundary|CIFAR10 dataset|MNIST
BJlahxHYDS,conservative Uncertainty estimation|random prior|Prior Networks|distribution detection
SylzhkBtDB,Information Transfer|BERT LARGE|SVD
Hyl7ygStwB,BERT
BJx040EFvH,PGD
rkg-TJBFPB,intrinsic reward|Rewarding Impact|RIDE
ryeFY0EFwS,Deep learning community|open question|Understanding Generalization|neural network
rkecJ6VFvr,product attention|dimensional attention|tensor product|entity representation
ByeWogStDS,policy adaptation|sites.google.com/view/hippo-rl
H1lxVyStPH,visual Recognition
HygpthEtvr,nonsmooth regularization|NN|interval constraint|specific structure
B1xwcyHFDr,robust representation|representation learning|View Information Bottleneck|MIR
Bkeeca4Kvr,graph spectral MEASURES
Syg-ET4FPS,agent system|PSRL|imperfect information|TEGI
rygjHxrYDB,Deep Audio prior|Harmonic Convolutional Networks|audio signal
H1enKkrFDB,Bartlett et al|Improved Generalization|SRN|VGG
ryxnY3NYPS,future trajectory|Diverse Trajectory Forecasting|Determinantal Point|DPP
Hke0K1HKwr,dialogue Holl|SKT
rkecl1rtwB,GAT
SyxV9ANFDH,Nonlinear Granger Causality|SRU network|MLP|LSTM
ryxgsCVYPr,Machine Reading Comprehension|Answerability Prediction|MRC model
r1eiu2VtwH,NODE architecture|NLP
B1x6w0EtwH,KG
HyxG3p4twS,Reliable Photo Authentication|Lossy Representations|JPEG|QF
ByxtC2VtPB,adversarial example|adversarial perturbation|adversarial robustness|input example
SygXPaEYvH,VL|linguistic BERT|generic visual|linguistic representation
BJliakStvH,Inverse Reinforcement Learning|Markov Decision Processes|MDP
HJlnC1rKPB,attention layer|CNN layer|vision task|recent trend
rylBK34FDS,Sparser Neural Network|Invariant Sparsity Measures|Differentiable Scale|Hoyer measure
Hkekl0NFPr,Conditional Learning|novel algorithm|demographic parity|key component
SylVNerFvr,Permutation Equivariant Models|sequence model|novel sentence|main contribution
Hyl9xxHYPr,Demystifying Inter|Class Disentanglement|Representation Disentanglement|key task
BkeWw6VFwr,top-$k$ prediction|randomized Smoothing|k Predictions|gaussian noise
BJge3TNKwH,Cramer Synaptic Consolidation|Elastic Weight Consolidation|EWC|SCP
rJeg7TEYwB,Graph Scattering Transforms
BJgZGeHFPH,action embedding|Aware embedding|sample efficiency|efficient policy learning
HygOjhEYDH,free learning|event time|irregular interval
HJlA0C4tPS,Probabilistic Formulation|HMM
H1lj0nNFwB,incremental learning|surprising generalization|Implicit Bias
HklxbgBKvr,PPO|RL
SyxrxR4KPS,
BkxSmlBFvr,
Byg5ZANtvH,Geometric Approach
rkgvXlrKwH,SEED RL|efficient Deep|Accelerated Central Inference|Atari-57
rkgt0REKwS,CL
HJeO7RNKPr,depth estimation|differentiable Structure|classical geometric algorithm|motion estimation
S1ly10EKDS,vanilla TD|VRTD
B1lPaCNtPB,standard GAN|adversarial learning|multiple angle|new perspective
BJluxREKDB,efficient heuristic|handwritten heuristic|reasoning algorithm|search algorithm
BJl07ySKvS,program output|truth program|output example|Generate example
B1gskyStwr,
rye5YaEtPr,Adam algorithm|strong convexity|Strongly Convex Functions|T)$ regret
ryxQuANKPB,collaborative dialog|dialog history|collaborative Dialog Systems|strategic Dialog history
BkxUvnEYDH,Program Guided Agent|formal language|multitask policy|research direction
H1edEyBKDS,Play Language Models|simple Approach|LM|PPLM
HkgsWxrtPB,Meta Reinforcement|Subtask Graph Inference|Autonomous Inference|Subtask Dependencies
rygixkHKDH,Geometric Analysis|Overcomplete Learning|datum analytic|past decade
SJxUjlBtwB,3d structure|EM image
H1lK_lBtvS,set method|fundamental problem|General Data|artificial intelligence
Byg9A24tvB,Softmax Cross|Adversarial robustness|MMC loss|SCE loss
rJehNT4YPr,Comparing Classifiers|https://github.com/TAMU-VITA/MAD
BJgr4kSFDS,KG entity|Knowledge Graphs|Box Embeddings
SkxQp1StDH,global minimization|linear way|measurable space|extensive experiment
rkgAGAVKPr,diverse dataset|new class|new benchmark|new set
BygSP6Vtvr,single model|Prior Networks
rkeZIJBYvr,distribution task|unseen task|task relatedness|Bayesian Meta
r1lZ7AEKvB,Logical Expressiveness|FOC2 classifier|WL test
r1gRTCVFvB,Decoupling Representation|LT|head-|https://github.com/facebookresearch/classifier-balancing
SkeyppEFvS,
B1l8L6EtDS,novel self|adversarial learning|text quality|real sample
HkxdQkSYDB,agent environment|mutual interplay|relation representation|relation kernel
r1lL4a4tDB,po task|RL algorithm|VRM
B1xIj3VYvr,clustering framework|individual instance|Unet model
SklTQCNtvS,efficient Sign|OPT attack|label Adversarial Attack|OPT approach
SJlRUkrFPS,OT|SI
HJli2hNKDH,observational overfitting|major component|Markov Decision Process|general framework
ryxWIgBFPS,transfer Objective|Disentangle Causal Mechanisms
SJetQpEYvB,neural code fusion|learning execution|Neural Networks
SJlKrkSFPH,DIVERGENCES|ROBUSTNESS CERTIFICATION
r1ecqn4YwB,N|BEATS
SJgwzCEKwH,
B1eY_pVYvB,Reversible Network|KITTI|Moving MNIST
Sye_OgHFwH,Adversarial Examples|semantic manipulation|MSCOCO
S1lOTC4tDS,complex behavior|latent imagination|computation time|final performance
HklBjCEKvH,
rklOg6EFwS,final robustness|DNN robustness|MART
Hyg9anEFPS,dependent effect|GAN|Neural Object Rendering
BJeGlJStPr,Asynchronous Architectures|Clipped Target Networks|IMPALA
Bkg0u3Etwr,Maxmin Q|learning variant|learning framework|overestimation bias
H1gzR2VKDH,Horizon task|Hierarchical Foresight|visual Subgoal Generation|HVF
Sye0XkBKvS,spectral discretization|neural ode|ODE|Net dynamic
rylrdxHFDr,imitation learning method|State Alignment|standard imitation|novel state alignment
BJxG_0EtDS,Linear control
rJg8TeSFDH,Batch Normalization|SGD|Group Normalization(Wu
rJeB36NKvB,absolute position information|neural network|local filter|finite spatial extent
rJgsskrFwH,Autoregressive video Models
r1lfF2NYvH,Mutual Information Maximization
ryeG924twB,deep Multi|Agent Reinforcement Learning|MARL
SJx0q1rtvS,outlier detection|novelty detection|differential privacy|poisoning sample
rkl8dlHYvB,3d part
SJeY-1BKDS,Dictionary learning|SDL|ICA|\ell^4$-maximization
ByeMPlHKPH,Lite Transformer|Evolved Transformer|Short Range attention|M Mult
S1efxTVYDr,Language Generation
B1xMEerYvB,smooth market|player game|recent algorithm|basic mechanism
SylOlp4FvH,policy Maximum|Atari-57
ryxC6kSYPr,MPC solution|DARE
BylVcTNtDS,deep Models
SJem8lSFwB,dynamic model|dynamic allocation|end device|additional overhead
B1lGU64tDr,SSM|Stochastic Multi|Object Systems
SJeq9JBFvH,large pre|DPS|MNIST
rkeuAhVKvB,Graph Neural Networks|DPMPN
Hklso24Kwr,deep learning|adaptive Weights|CLAW|catastrophic forgetting
H1e_cC4twS,DST|NADST
ryx6WgStPB,Thompson sampling|guide exploration|computational cost|epistemic uncertainty
SylKikSYDH,Compressive Transformer|Range sequence modelling|range sequence learning|attentive sequence model
SJe5P6EYvS,LSTM context|Mogrifier LSTM|Natural Language Processing|Term Memory
BkxRRkSKwr,phrase composition|Hierarchical Importance Attribution|Neural Sequence Models|SOC
H1loF2NFwr,NAS search phase|Neural Architecture Search|NAS strategy|NAS candidate
rygGQyrFvH,Neural Text degeneration|curious Case|Nucleus Sampling
S1lSapVtwS,basis decomposition
HygnDhEtvr,QG|sequence Model
rklnDgHtDS,language learning|catastrophic forgetting|significant improvement|research effort
S1lxKlSKPH,Generative Adversarial Networks|CIFAR-10|CR|ImageNet-2012
ryxGuJrFvS,Robust Neural Networks
SylkYeHtwr,Log Marginal Probability|SUMO|infinite series
ryebG04YvB,datum scarcity|scale training|training end|target domain
rJlnxkSYPS,supervised model|supervised learning|high accuracy pseudo|high quality pseudo
S1xKd24twB,Sparse Rewards|GAIL
HkxQRTNYPH,translation direction|language model|language pair|generative NMT
rJehVyrKwH,network output|domain input|CPU|Neural Networks
rkgyS0VFvr,DBA|Distributed backdoor Attacks|Federated Learning
HygegyrYwH,
SJleNCNtDH,https://sites.google.com/view/iclr2020-synergistic
B1eWOJHKvB,
SJxpsxrYPS,progressive learning|HIERARCHICAL REPRESENTATIONS|VAE
HkgeGeBYDB,space activation value|input space|autoencoder reconstruction|corresponding reconstruction
HJxV-ANKDH,efficient riemannian Optimization|Cayley SGD|Cayley ADAM|Stiefel manifold
BygdyxHFDS,
H1lma24tPB,Principled Weight Initialization|Bayesian deep learning|extensive application|correct scale
SkgscaNYPS,asymptotic spectrum|gradient descent|Neural Tangent Kernel|NTK
HJx81ySKwr,
HyxJ1xBYDH,Data Stream Algorithms
r1e9GCNKvH,recurrent Neural Networks|shot pruning|Jacobian Spectrum Evaluation|LSTM
ByeNra4FDB,OOD detector|OOD datum|novel RND|Random Network Distillation
SJx-j64FDr,SAT solver
S1xFl64tDr,interpretable Complex|input attribute|original input|layer feature
Syx7A3NFvH,agent Reinforcement
rklp93EtwH,Automated Relational Meta|learning method|ARML
BygFVAEKDH,NAT model|NAT training|Understanding Knowledge Distillation
Bkl5kxrKDr,Generalized Training Approach|Nash equilibrium|Multiagent Learning|Spaced response Oracles
B1lnbRNtwr,Global Relational Models|Source Code|Graph Sandwiches
H1gax6VtDB,
Hyg-JC4FDr,Policy distribution Matching|distribution matching|policy datum|expert demonstration
HklQYxBKwS,universal approximation|NTK regime|Fourier transform
rkxZyaNtwB,Lipschitz continuity|Lipschitz framework|loss function|riemannian approach
SJlHwkBYDH,Nesterov Accelerated Gradient|Adversarial attack|Scale Invariance|NI
SygagpEKwB,Disentangling factor
SkgC6TNFvr,
HJgcvJBFvB,simple technique|Deep Reinforcement|Network Randomization
Hkem-lrtvH,BayesOpt Adversarial Attack
ryghZJBKPS,Diverse Gradient Embeddings|new algorithm|BADGE
r1xGnA4Kvr,MNIST|CUB200
H1lBj2VFPS,precision Integer Hardware|Neural Networks|YOLO
rJljdh4KDH,Spatial Feature Distributions|Grid Cells|Nobel Prize
BygPO2VKPH,code component|Gated Learned ISTA|LISTA|gain gate
rkgpv2VFvr,Task Deep Reinforcement|Reinforcement Learning algorithm|single task|task setting
HJlxIJBFDr,recursive variance reduction|reinforcement learning|research problem|SRVR
BJgMFxrYPB,Affordance Maps
Syx1DkSYwB,Sparse Gradients|SVRG|SGD
SyxL2TNtvr,disentangled representation|Unsupervised Model Selection|Variational Disentangled Representation|datum efficiency
Byx_YAVYPH,
B1lDoJSYDH,convolutional network|network architecture|previous approach|new type
Skxd6gSYDS,DNN model|efficient Meta Attack|Deep Neural Networks|imagenet demonstrate
BJxt60VtPr,unlabelled video
HyevIJStwH,large GSNR|Neural network
ByxQB1BKwH,Abstract Diagrammatic Reasoning|Multiplex Graph Networks|Diagram Syllogisms|PGM
HkxBJT4YvB,disentangled Representations|treatment effect|CounterFactual Regression|outcome Y.
SkeuexBtDr,rule Generalizing|denoised rule|human supervision|exemplar supervision
Hyx0slrFvH,good parametrization|training method|size constraint|CIFAR-10
S1ldO2EFPr,Graph Neural Networks|Graph Convolutional Network|graph nn|expressive power
S1e_9xrFvS,protein design|protein datum|atomic scale|EBM
BylA_C4tPr,
SJgaRA4FPH,decentralized dataset|effective ML
Sklf1yrYDr,Efficient ensemble|lifelong learning|alternative Approach|EN
SJxzFySKwH,node embedding|Positional Node Embeddings|invariant theory|matrix factorization
rJxbJeHFPS,Neural network reason|Graph Neural Networks|DP
S1eALyrYDH,RNA base|deep architecture|inherent constraint|key idea
Skln2A4YDB,current model|critic fashion
S1xnXRVFwH,RL).For NLP
B1x62TNtDS,variational approach|variance reduction|MI|neural network
Hkl1iRNFwS,early phase|early iteration|Frankle et al|Ari et al
SyxIWpVYvr,distribution detection|promising resource|training datum
SkgGjRVKDS,Batch Statistics|MABN|COCO|https://github.com/megvii-model/MABN
HJxR7R4FvS,new method|critic network|new list|actor network
HJlSmC4FPS,interpretable blind image
SJgwNerKvB,continual learning
SJgIPJBFvH,Fantastic Generalization Measures|motivated measure|deep network|generalization bound
SJxDDpEKvH,deep generative model
HyxjOyrKvr,Neural Epitome Search|Agnostic Network Compression|Model Compression|AMC
HyxLRTVKPH,Budgeted Training|MS COCO
Hkx7xRVYDr,Stay Storage Assignment|Storage assignment|United States|CNN
BJe8pkHFwS,Graph Convolutional Networks|PPI
SJgndT4KwB,network depth|Width Corrections|NTK|precise scaling
BJgQfkSYDS,optimal policy|stationary point
Ske31kBtPr,Mathematical Reasoning|approximate reasoning|Latent Space
HJg2b0VYDr,active learning|Efficient Data Selection|Amazon Review Polarity|SVP
r1eyceSYPr,Training Energy
Hkxzx0NtDB,hybrid model|joint distribution|distribution detection|unnormalized value
HygsuaNFwr,order graph|Order Learning|input instance|object instance
Hke-WTVtwr,NLP|CNN|RNN
S1e2agrFvS,GCN
Skxuk1rFwB,efficient Training|CROWN|MNIST|CIFAR-10
ryxmb1rKDS,symplectic ODE
SkxSv6VFvS,deformable Kernels|ERF
rJeW1yHYwH,inductive representation
rylvYaNYDH,
B1gHokBKwS,dimensional function|bayesian optimization|dimensional manifold|Random search
rkxawlHKDr,polygon shape|input image|aerial image|differentiable rendering
HJgLZR4KvH,Aware Discovery|DADS
